what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376555038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1324376560960
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1324376561081
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376569951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376635811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376641135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376720698
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324376722500
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324376728040
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324376731025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376734234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376815552
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324376842231
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324376848958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376852376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376863338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376864679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376925002
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324376936229
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324376938844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376957798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376959617
opened,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324376967121
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324376967190
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324376990120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324377058473
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324377074206
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324377095625
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324377123555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324377130168
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324377184597
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324377186562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324377214880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1324377254237
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1324377258752
opened,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324377259643
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324377259723
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1324377259739
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324377262112
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1324377264143
opened,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324377264411
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324377264483
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1324377264494
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1324377267680
